timestamp,participant_id,condition,event_type,waypoint_id,head_rotation_x,head_rotation_y,head_rotation_z,device_active,confidence_rating,mission_id,difficulty_rating,verification_correct,beam_content_type,session_id,mission_set,trigger_id,trigger_type,cause,duration_s,distance_m,anchor_bound,arrow_visible,extra_data
2026-03-15T20:17:09.426,P02,glass_only,EXPERIMENT_START,,18.0,18.8,0.2,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""condition"":""glass_only"",""mission_set"":""Set1""}"
2026-03-15T20:17:09.452,P02,glass_only,CONDITION_CHANGE,,18.0,18.8,0.2,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""condition"":""glass_only""}"
2026-03-15T20:17:09.460,P02,glass_only,RELOCALIZATION_START,,18.0,18.8,0.2,,,,,,,P02_20260315_201709,Set1,,,,,,,,{}
2026-03-15T20:17:09.631,P02,glass_only,ANCHOR_DIAGNOSTICS,,18.0,18.8,0.2,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""storagePath"":""/storage/emulated/0/Android/data/com.KIT_HCI.ARNavExperiment/files/AnchorMaps"",""dirExists"":true,""sdkCount"":43,""jsonCount"":9,""diskFound"":9,""diskMissing"":0,""rootMisplaced"":0}"
2026-03-15T20:17:20.221,P02,glass_only,RELOCALIZATION_PROCEED_PARTIAL,,4.5,93.0,358.7,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""success_rate"":0.22,""action"":""proceed_partial""}"
2026-03-15T20:17:22.577,P02,glass_only,GLASS_ARROW_HIDDEN,,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,{}
2026-03-15T20:17:22.580,P02,glass_only,CONDITION_CHANGE,,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""condition"":""glass_only""}"
2026-03-15T20:17:22.584,P02,glass_only,ROUTE_START,,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""mission_set"":""Set1"",""condition"":""glass_only""}"
2026-03-15T20:17:22.591,P02,glass_only,WAYPOINT_FALLBACK_USED,WP02,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, 33.00)""}"
2026-03-15T20:17:22.592,P02,glass_only,WAYPOINT_FALLBACK_USED,WP03,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, 45.00)""}"
2026-03-15T20:17:22.595,P02,glass_only,WAYPOINT_FALLBACK_USED,WP04,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, 57.00)""}"
2026-03-15T20:17:22.597,P02,glass_only,WAYPOINT_FALLBACK_USED,WP05,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, 66.00)""}"
2026-03-15T20:17:22.599,P02,glass_only,WAYPOINT_FALLBACK_USED,WP06,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(39.00, 0.00, 72.00)""}"
2026-03-15T20:17:22.601,P02,glass_only,WAYPOINT_FALLBACK_USED,WP07,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, 48.00)""}"
2026-03-15T20:17:22.602,P02,glass_only,WAYPOINT_FALLBACK_USED,WP08,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""fallback_position"":""(36.00, 0.00, -7.00)""}"
2026-03-15T20:17:22.609,P02,glass_only,HEADING_CALIBRATION,,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""source"":""auto"",""offset_deg"":-235.9}"
2026-03-15T20:17:22.609,P02,glass_only,ROUTE_BINDING_SUMMARY,,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,,,,,,"{""route"":""B"",""total"":9,""anchor_bound"":2,""fallback"":7,""details"":[{""id"":""WP00"",""bound"":true,""pos"":""(1.06, 1.02, -0.93)""},{""id"":""WP01"",""bound"":true,""pos"":""(0.02, 1.03, -0.22)""},{""id"":""WP02"",""bound"":false,""pos"":""(36.00, 0.00, 33.00)""},{""id"":""WP03"",""bound"":false,""pos"":""(36.00, 0.00, 45.00)""},{""id"":""WP04"",""bound"":false,""pos"":""(36.00, 0.00, 57.00)""},{""id"":""WP05"",""bound"":false,""pos"":""(36.00, 0.00, 66.00)""},{""id"":""WP06"",""bound"":false,""pos"":""(39.00, 0.00, 72.00)""},{""id"":""WP07"",""bound"":false,""pos"":""(36.00, 0.00, 48.00)""},{""id"":""WP08"",""bound"":false,""pos"":""(36.00, 0.00, -7.00)""}]}"
2026-03-15T20:17:22.621,P02,glass_only,WAYPOINT_REACHED,WP00,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,radius,,,,,"{""cause"":""radius"",""is_target"":false}"
2026-03-15T20:17:22.636,P02,glass_only,WAYPOINT_REACHED,WP01,15.1,113.3,359.4,,,,,,,P02_20260315_201709,Set1,,,radius,,,,,"{""cause"":""radius"",""is_target"":false}"
