participant_id,condition,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,tlx_mean
P01,glass_only,4,3,4,3,4,2,3.33
P01,hybrid,5,4,4,6,3,3,4.17
P02,glass_only,5,1,2,4,3,4,3.17
P02,hybrid,5,4,1,2,4,5,3.5
P03,glass_only,2,3,3,5,5,4,3.67
P03,hybrid,4,3,3,4,4,3,3.5
P04,glass_only,2,3,5,3,3,5,3.5
P04,hybrid,4,3,3,2,4,2,3.0
P05,glass_only,6,2,4,4,5,5,4.33
P05,hybrid,6,3,3,1,3,3,3.17
P06,glass_only,6,3,3,6,4,2,4.0
P06,hybrid,2,2,3,2,4,3,2.67
P07,glass_only,4,2,4,3,1,3,2.83
P07,hybrid,4,3,6,1,1,3,3.0
P08,glass_only,3,2,4,4,2,3,3.0
P08,hybrid,4,4,3,4,4,1,3.33
P09,glass_only,4,3,2,6,4,4,3.83
P09,hybrid,4,5,3,4,4,4,4.0
P10,glass_only,6,2,5,4,4,5,4.33
P10,hybrid,4,5,4,5,5,4,4.5
P11,glass_only,4,3,2,3,2,4,3.0
P11,hybrid,4,3,3,3,3,2,3.0
P12,glass_only,7,4,4,5,3,4,4.5
P12,hybrid,4,3,4,3,3,3,3.33
P13,glass_only,4,2,2,3,6,4,3.5
P13,hybrid,2,2,4,1,1,1,1.83
P14,glass_only,5,3,3,2,2,5,3.33
P14,hybrid,4,2,2,3,5,4,3.33
P15,glass_only,4,2,2,5,2,3,3.0
P15,hybrid,4,4,4,4,4,4,4.0
P16,glass_only,4,1,3,3,3,4,3.0
P16,hybrid,3,1,4,3,2,2,2.5
P17,glass_only,6,2,2,2,5,3,3.33
P17,hybrid,3,4,3,4,4,3,3.5
P18,glass_only,7,3,5,3,3,4,4.17
P18,hybrid,3,1,4,3,1,2,2.33
P19,glass_only,4,2,5,3,4,6,4.0
P19,hybrid,4,3,1,4,4,5,3.5
P20,glass_only,3,3,2,3,5,1,2.83
P20,hybrid,3,1,3,4,2,2,2.5
P21,glass_only,5,3,5,3,5,4,4.17
P21,hybrid,2,4,5,1,4,3,3.17
P22,glass_only,5,6,4,3,4,3,4.17
P22,hybrid,2,3,6,4,5,4,4.0
P23,glass_only,5,2,4,2,4,3,3.33
P23,hybrid,5,4,4,5,3,2,3.83
P24,glass_only,3,5,6,2,5,3,4.0
P24,hybrid,3,3,3,2,3,3,2.83
